topology,seed,strategy,final_fake_count,efficiency,mean_fact_checker_budget
random,22,baseline,1,0.918925,0.25
random,22,adaptive,0,0.9768,0.07851485148514853
random,23,baseline,105,0.5704750000000001,0.25
random,23,adaptive,0,0.967575,0.08460396039603965
random,24,baseline,150,0.35782499999999995,0.25
random,24,adaptive,0,0.9812,0.07495049504950496
random,25,baseline,1,0.93845,0.25
random,25,adaptive,0,0.975825,0.07747524752475249
random,26,baseline,2,0.95995,0.25
random,26,adaptive,1,0.96825,0.08103960396039608
random,27,baseline,2,0.907825,0.25
random,27,adaptive,1,0.965,0.08490099009900995
random,28,baseline,16,0.871975,0.25
random,28,adaptive,0,0.9763,0.07910891089108912
random,29,baseline,25,0.73105,0.25
random,29,adaptive,0,0.97755,0.07554455445544556
